,O,C,E,A,N
O,0.21284918658619542,-0.03629024799459677,-0.05677062909188898,-0.01271452333476206,0.021534956493971014
C,-0.05678116953128933,0.12722274274089443,-0.07230942995445322,0.06995389235967174,0.007446932104106448
E,-0.005545074627620234,-0.06870166205764419,0.22166860693390486,0.021424719490038734,0.010280916735032552
A,0.03644755425518736,0.004468645743027557,0.12457955478707086,0.14661027241885907,0.06717756531211201
N,0.04406119293089022,-0.030621282557530567,0.02720535904269198,-0.09840230429526012,0.0664784401342512
